YEAR ,OPERATOR,PAX TO ,PAX   FROM,PAX TOTAL,FREIGHT TO,FREIGHT FROM,FREIGHT TOTAL
2005-06,INDIAN,2944888,3204672,6149560,34876,63870,98746
2005-06,FOREIGN,6791643,7224041,14015684,293867,422266,716132
2005-06, TOTAL,9736531,10428713,20165244,328742,486136,814878
2006-07,INDIAN,3458135,3700628,7158763,41242,71800,113043
2006-07,FOREIGN,7825833,8387088,16212921,356086,457914,814000
2006-07, TOTAL,11283968,12087716,23371684,397328,529714,927042
2007-08,INDIAN,4210265,4470797,8681062,50445,79321,129766
2007-08,FOREIGN,8913913,9578211,18492124,416563,478695,895258
2007-08, TOTAL,13124178,14049008,27173186,467008,558016,1025024
2008-09,INDIAN,4672032,4879145,9551177,60051,94084,154135
2008-09,FOREIGN,9444813,9937913,19382726,404173,514160,918333
2008-09, TOTAL,14116845,14817058,28933903,464224,608245,1072468
2009-10,INDIAN,5501990,5557891,11059881,69968,112897,182865
2009-10,FOREIGN,10198678,10817095,21015773,404334,551869,956203
2009-10, TOTAL,15700668,16374986,32075654,474302,664766,1139068
2010-11,INDIAN,6285156,6399102,12684258,83612,126314,209926
2010-11,FOREIGN,11062871,11361592,22424463,478188,604327,1082515
2010-11, TOTAL,17348027,17760694,35108721,814253,730641,1292441
2011-12,INDIAN,6872802,7082590,13955392,73013,107692,180705
2011-12,FOREIGN,11986824,12863721,24850545,449049,589553,1038602
2011-12, TOTAL,18859626,19946311,38805937,522062,697245,1219307
